dgp_id,n_ref,n_new,d,X_dist,t_df,x_shift_type,concept_drift_type,n_nuisance,beta,mean_shift_count,eigen_shift_count,eigen_shift_mag,delta_x,delta_c,y_type,noise_sd,seed,mixture_degree,label,S_X,S_C,S_X_shift,S_C_shift,oracle_mean_shift,oracle_m0_mean_ref,oracle_m1_mean_ref,oracle_concept_signal_raw
0,1000,1000,10,normal,3,mean,none,10,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",4,4,1.5,0.5,0.0,regression,1.0,2026,2.0,covariate_only,1,0,mean,none,1.0050073243665827,-0.016419100560735533,2.041826443810672,0.0
1,1000,1000,10,normal,3,mean,none,10,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",4,4,1.5,1.0,0.0,regression,1.0,2028,2.0,covariate_only,1,0,mean,none,1.9886005816531518,-0.04567471198883965,4.009533087997146,0.0
2,1000,1000,10,normal,3,covariance,none,10,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",4,4,1.5,0.5,0.0,regression,1.0,2030,2.0,covariate_only,1,0,covariance,none,0.13200331242728167,-0.1066796175690307,-0.0336613496801808,0.0
3,1000,1000,10,normal,3,covariance,none,10,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",4,4,1.5,1.0,0.0,regression,1.0,2032,2.0,covariate_only,1,0,covariance,none,0.17942214263594947,-0.046399907532469586,-0.06043173630243105,0.0
4,1000,1000,10,normal,3,mixture,none,10,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",4,4,1.5,0.25,0.0,regression,1.0,2034,2.0,covariate_only,1,0,mixture,none,0.916707290793694,-0.16287722712238986,1.6574269100613739,0.0
5,1000,1000,10,normal,3,mixture,none,10,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",4,4,1.5,0.75,0.0,regression,1.0,2036,2.0,covariate_only,1,0,mixture,none,2.573487990945832,0.022247066938711212,4.594035093306509,0.0
6,1000,1000,10,normal,3,support,none,10,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",4,4,1.5,0.25,0.0,regression,1.0,2038,2.0,covariate_only,1,0,support,none,0.12115002215783766,0.04751853251158701,-0.007801424895291285,0.0
7,1000,1000,10,normal,3,support,none,10,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",4,4,1.5,0.75,0.0,regression,1.0,2040,2.0,covariate_only,1,0,support,none,0.12284166513908767,-0.006600203725496186,-0.02194658093410228,0.0
8,1000,1000,10,normal,3,eigenshift,none,10,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",4,4,1.5,0.25,0.0,regression,1.0,2042,2.0,covariate_only,1,0,eigenshift,none,0.16827709105850025,0.04289343650341635,-0.12247999844528248,0.0
9,1000,1000,10,normal,3,none,none,10,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",4,4,1.5,0.0,0.0,regression,1.0,2044,2.0,no_shift,0,0,none,none,0.1374162250278099,-0.023066656805818382,-0.05521438148526627,0.0
10,1000,1000,10,normal,3,mean,linear,10,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",4,4,1.5,0.5,0.5,regression,1.0,2046,2.0,mixed,1,1,mean,linear,1.0355218537937074,-0.03671921989393762,2.584293569778645,0.6986165949910719
11,1000,1000,10,normal,3,mean,linear,10,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",4,4,1.5,0.5,1.0,regression,1.0,2048,2.0,mixed,1,1,mean,linear,1.0391313986213122,-0.020722061063674885,3.129021952435913,1.4494822778356433
12,1000,1000,10,normal,3,mean,linear,10,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",4,4,1.5,1.0,0.5,regression,1.0,2050,2.0,mixed,1,1,mean,linear,2.0372385675879223,0.025737929590880265,4.983937213549467,1.0474706498438646
13,1000,1000,10,normal,3,mean,linear,10,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",4,4,1.5,1.0,1.0,regression,1.0,2052,2.0,mixed,1,1,mean,linear,2.0095267845426297,0.058368385962227966,6.001491724426701,2.087403008760488
14,1000,1000,10,normal,3,covariance,linear,10,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",4,4,1.5,0.5,0.5,regression,1.0,2054,2.0,mixed,1,1,covariance,linear,0.13268659561554716,-0.06292934580694814,0.06637298733191273,0.6891606768355245
15,1000,1000,10,normal,3,covariance,linear,10,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",4,4,1.5,0.5,1.0,regression,1.0,2056,2.0,mixed,1,1,covariance,linear,0.12610493393602057,-0.047106812408104035,0.15321767603639977,1.421210297915458
16,1000,1000,10,normal,3,covariance,linear,10,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",4,4,1.5,1.0,0.5,regression,1.0,2058,2.0,mixed,1,1,covariance,linear,0.1470896490855858,0.10895475956379841,-0.10181522166791254,0.7716701154755324
17,1000,1000,10,normal,3,covariance,linear,10,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",4,4,1.5,1.0,1.0,regression,1.0,2060,2.0,mixed,1,1,covariance,linear,0.11317547129973261,0.017707972045959336,0.12533229820029604,1.5245162722606445
18,1000,1000,10,normal,3,mixture,linear,10,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",4,4,1.5,0.25,0.5,regression,1.0,2062,2.0,mixed,1,1,mixture,linear,0.8400622212349599,0.19322046854396452,1.8832105033436295,0.9583712183520092
19,1000,1000,10,normal,3,mixture,linear,10,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",4,4,1.5,0.25,1.0,regression,1.0,2064,2.0,mixed,1,1,mixture,linear,0.7922652471926537,-0.034957800136772715,2.3021863101693003,1.7596661866987042
20,1000,1000,10,normal,3,mixture,linear,10,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",4,4,1.5,0.75,0.5,regression,1.0,2066,2.0,mixed,1,1,mixture,linear,2.667765995458193,-0.0009213062417251656,6.107261429008762,1.6538735149794956
21,1000,1000,10,normal,3,mixture,linear,10,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",4,4,1.5,0.75,1.0,regression,1.0,2068,2.0,mixed,1,1,mixture,linear,2.6311690468937043,-0.08277840497323156,7.556328272457395,3.344143470424731
22,1000,1000,10,normal,3,support,linear,10,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",4,4,1.5,0.25,0.5,regression,1.0,2070,2.0,mixed,1,1,support,linear,0.11382231579432224,0.10291965521488507,-0.10952167450784296,0.4443670170246123
23,1000,1000,10,normal,3,support,linear,10,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",4,4,1.5,0.25,1.0,regression,1.0,2072,2.0,mixed,1,1,support,linear,0.109981311206405,0.06430430636918501,0.014907875113201864,0.9085860545794304
24,1000,1000,10,normal,3,support,linear,10,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",4,4,1.5,0.75,0.5,regression,1.0,2074,2.0,mixed,1,1,support,linear,0.14248091333489812,0.08011963636996176,0.08967480156858318,0.5275976313494473
25,1000,1000,10,normal,3,support,linear,10,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",4,4,1.5,0.75,1.0,regression,1.0,2076,2.0,mixed,1,1,support,linear,0.09481049860918317,-0.08207940988695027,-0.012062642559235481,1.1096907236858529
26,1000,1000,10,normal,3,eigenshift,linear,10,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",4,4,1.5,0.25,0.5,regression,1.0,2078,2.0,mixed,1,1,eigenshift,linear,0.19719037874801332,-0.055699399258015404,-0.5345429439149929,0.7387581201996116
27,1000,1000,10,normal,3,eigenshift,linear,10,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",4,4,1.5,0.25,1.0,regression,1.0,2080,2.0,mixed,1,1,eigenshift,linear,0.1702395063628947,-0.06392100853642593,-0.06499156332553914,1.5799356944445604
28,1000,1000,10,normal,3,none,linear,10,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",4,4,1.5,0.0,0.5,regression,1.0,2082,2.0,concept_drift_only,0,1,none,linear,0.18646421666188337,-0.10871921706956768,0.0911286000231785,0.5738641547286232
29,1000,1000,10,normal,3,none,linear,10,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",4,4,1.5,0.0,1.0,regression,1.0,2084,2.0,concept_drift_only,0,1,none,linear,0.11604130371603011,-0.012741850617317236,-0.009116365119862198,1.127842165095501
30,1000,1000,10,normal,3,mean,nonlinear,10,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",4,4,1.5,0.5,0.25,regression,1.0,2086,2.0,mixed,1,1,mean,nonlinear,1.0225520095079694,0.03822167347717669,2.0437037334886616,0.11565067243337297
31,1000,1000,10,normal,3,mean,nonlinear,10,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",4,4,1.5,0.5,0.75,regression,1.0,2088,2.0,mixed,1,1,mean,nonlinear,0.9999755303025685,-0.08279580805268157,1.9545428420466615,0.3475459153905338
32,1000,1000,10,normal,3,mean,nonlinear,10,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",4,4,1.5,0.5,1.0,regression,1.0,2090,2.0,mixed,1,1,mean,nonlinear,1.0450526898688723,0.034224548253733944,2.1631366763067734,0.4461478606561848
33,1000,1000,10,normal,3,mean,nonlinear,10,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",4,4,1.5,1.0,0.25,regression,1.0,2092,2.0,mixed,1,1,mean,nonlinear,2.093039437574996,-0.08434862095006641,4.136995670121763,0.1348555614432247
34,1000,1000,10,normal,3,mean,nonlinear,10,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",4,4,1.5,1.0,0.75,regression,1.0,2094,2.0,mixed,1,1,mean,nonlinear,2.032738640210544,0.06588419020850457,4.194182000862997,0.3971065889789009
