dgp_id,n_ref,n_new,d,x_shift_type,concept_drift_type,delta_x,delta_c,y_type,noise_sd,seed,mixture_degree,mean_shift_count,eigen_shift_count,eigen_shift_mag,oracle_mean_shift,oracle_m0_mean_ref,oracle_m1_mean_new,oracle_concept_signal_abs_mean_new
0,1000,1000,10,none,none,0.0,0.0,regression,1.0,2026,2.0,0,4,1.5,0.0806137214671131,0.0633481740223946,-0.0451513155834564,0.0
1,1000,1000,10,mean,none,0.25,0.0,regression,1.0,2027,2.0,0,4,1.5,0.4676243676821177,0.0447217705541012,0.2722813997323061,0.0
2,1000,1000,10,mean,none,0.5,0.0,regression,1.0,2030,2.0,0,4,1.5,0.9343615324753644,-0.0196739156438841,0.5067423069752501,0.0
3,1000,1000,10,mean,none,0.75,0.0,regression,1.0,2035,2.0,0,4,1.5,1.251714689072596,0.0433695484588794,0.6874641723779712,0.0
4,1000,1000,10,mean,none,1.0,0.0,regression,1.0,2042,2.0,0,4,1.5,1.7192100765836515,0.00621125469383,0.9964738079389476,0.0
5,1000,1000,10,covariance,none,0.25,0.0,regression,1.0,2051,2.0,0,4,1.5,0.1373349550758758,-0.0401373905544207,0.0778363194853726,0.0
6,1000,1000,10,covariance,none,0.5,0.0,regression,1.0,2062,2.0,0,4,1.5,0.1967125377240283,0.0271783046330592,-0.0029788768240718,0.0
7,1000,1000,10,covariance,none,0.75,0.0,regression,1.0,2075,2.0,0,4,1.5,0.1151791481023766,-0.0506916278969815,0.0187033860338612,0.0
8,1000,1000,10,covariance,none,1.0,0.0,regression,1.0,2090,2.0,0,4,1.5,0.1095459931149657,-0.0002355337278958,-0.0405239419306659,0.0
9,1000,1000,10,mixture,none,0.25,0.0,regression,1.0,2107,2.0,0,4,1.5,0.7440258932606739,0.0433338443562476,0.391797968002416,0.0
10,1000,1000,10,mixture,none,0.5,0.0,regression,1.0,2126,2.0,0,4,1.5,1.8114256184334088,-0.0124016092727549,1.0559750893439537,0.0
11,1000,1000,10,mixture,none,0.75,0.0,regression,1.0,2147,2.0,0,4,1.5,2.7135511229334144,-0.0124638159999268,1.645112780665468,0.0
12,1000,1000,10,mixture,none,1.0,0.0,regression,1.0,2170,2.0,0,4,1.5,3.104910198427089,-0.0243792013576142,1.773448638892633,0.0
13,1000,1000,10,support,none,0.25,0.0,regression,1.0,2195,2.0,0,4,1.5,0.0706269521482153,0.0319527056918476,-0.0154358505781908,0.0
14,1000,1000,10,support,none,0.5,0.0,regression,1.0,2222,2.0,0,4,1.5,0.1473074222570788,-0.0051088980069422,0.0050955643010337,0.0
15,1000,1000,10,support,none,0.75,0.0,regression,1.0,2251,2.0,0,4,1.5,0.1297675819212757,-0.0506158419782821,-0.0041929267151208,0.0
16,1000,1000,10,support,none,1.0,0.0,regression,1.0,2282,2.0,0,4,1.5,0.1541172845733623,-0.037074889793541,0.0940100463240401,0.0
17,1000,1000,10,none,none,0.0,0.0,regression,1.0,6939,2.0,0,4,1.5,0.1122038713710689,0.0430057390750092,-0.0368602901425844,0.0
18,1000,1000,10,none,linear,0.0,0.25,regression,1.0,7858,2.0,0,4,1.5,0.1601111337294612,-0.0297498742859776,0.0273959481841409,0.2802281233694257
19,1000,1000,10,none,linear,0.0,0.5,regression,1.0,8885,2.0,0,4,1.5,0.1740882974061434,-0.0204894354623317,0.0007965641710135,0.5482023594558744
20,1000,1000,10,none,linear,0.0,0.75,regression,1.0,10026,2.0,0,4,1.5,0.2043953655732062,-0.0668727600093443,0.0439415843753651,0.8596275363976708
21,1000,1000,10,none,linear,0.0,1.0,regression,1.0,11287,2.0,0,4,1.5,0.168365190845986,0.0356273383382639,-0.0364646694918099,1.1538397365387445
22,1000,1000,10,none,nonlinear,0.0,0.25,regression,1.0,12674,2.0,0,4,1.5,0.1726125372047564,0.0122545132234648,0.0677054010673526,0.1033820286844245
23,1000,1000,10,none,nonlinear,0.0,0.5,regression,1.0,14193,2.0,0,4,1.5,0.0828647847050831,-0.0031628508289816,-0.043665767664083,0.2146079057340041
24,1000,1000,10,none,nonlinear,0.0,0.75,regression,1.0,15850,2.0,0,4,1.5,0.1144040581477949,0.0334259819777283,-0.0298323302790351,0.3027953323651552
25,1000,1000,10,none,nonlinear,0.0,1.0,regression,1.0,17651,2.0,0,4,1.5,0.1291751152089522,-0.0004228550166029,0.0369956770545451,0.4395489810378392
26,1000,1000,10,none,cubic,0.0,0.25,regression,1.0,19602,2.0,0,4,1.5,0.1984592689059642,-0.0467357332616413,0.2794694956524441,0.5636051876413392
27,1000,1000,10,none,cubic,0.0,0.5,regression,1.0,21709,2.0,0,4,1.5,0.164321860315563,0.0416625214672336,0.461806231056755,1.1828748867191656
28,1000,1000,10,none,cubic,0.0,0.75,regression,1.0,23978,2.0,0,4,1.5,0.1017875479891897,-0.0020884108127353,0.7070023821198186,1.6828803172887392
29,1000,1000,10,none,cubic,0.0,1.0,regression,1.0,26415,2.0,0,4,1.5,0.1248035069358829,0.0060302858021306,0.9547615595091848,2.183506980080532
30,1000,1000,10,none,interaction,0.0,0.25,regression,1.0,29026,2.0,0,4,1.5,0.1288638384568148,0.0159581244861888,-0.0033093177085435,0.1248166072754474
31,1000,1000,10,none,interaction,0.0,0.5,regression,1.0,31817,2.0,0,4,1.5,0.1524823092979485,0.019566692905535,-0.0195751589714945,0.2521871653903441
32,1000,1000,10,none,interaction,0.0,0.75,regression,1.0,34794,2.0,0,4,1.5,0.1488964722837375,-0.0380788782323385,-0.0012217302792044,0.3449865164061478
33,1000,1000,10,none,interaction,0.0,1.0,regression,1.0,37963,2.0,0,4,1.5,0.1529748478633891,0.0147631642180438,-0.0094076392300387,0.5100343313114936
34,1000,1000,10,none,threshold,0.0,0.25,regression,1.0,41330,2.0,0,4,1.5,0.0999333202032877,-0.0272381119036189,0.1242602292043729,0.1275
