model,pair,n_train,n_eval,rf_oob_auc,rf_oob_score,z_delta_norm,k10_top10_ratio,k10_gini,k10_active_area
freia,border_to_lake,3012,1786,0.9253783670841086,0.8699458107544811,37.306068420410156,0.9999508997894748,0.9912559234713839,0.012414127020926652
freia,debris_to_border,4196,3012,0.851859562069485,0.7816315205327414,14.384581565856934,0.9998360244955516,0.992738263095825,0.00829259459557603
freia,debris_to_lake,4196,1786,0.8978423700063091,0.8421932464058843,32.2828483581543,0.9999583369206474,0.0,0.007452577118910974
freia,debris_to_space,4196,428,0.9007722085118893,0.9210640138408305,28.221036911010742,0.9999219908892552,0.9922892934330084,0.008629914756133178
freia,lake_to_debris,1786,4196,0.8959044341275273,0.844366432631227,26.748363494873047,0.9999548774656508,0.9949837191694781,0.0076822839087821735
vae,border_to_debris,3012,4196,0.8805142474271962,0.7985571587125416,1.1528948545455933,0.27020047372073874,0.3891795707581904,0.14271532318726168
vae,border_to_lake,3012,1786,0.9278505611744884,0.8491037932471863,2.8378701210021973,0.2749177625137908,0.3868712160186391,0.13904382720639696
vae,debris_to_border,4196,3012,0.8908403564008979,0.8021642619311876,1.1220420598983765,0.2684453628328969,0.38253415120450174,0.14387761454183268
vae,debris_to_lake,4196,1786,0.8920193550728737,0.7853560682046138,1.7404807806015015,0.27705965466455273,0.3857808770545117,0.13700048226658734
vae,debris_to_space,4196,428,0.9441407259250021,0.9132785467128027,3.0514674186706543,0.2964363038609518,0.4197173495756059,0.13727491147050233
vae,lake_to_debris,1786,4196,0.8891372042055731,0.8019057171514543,2.145911931991577,0.2592457902038007,0.36652796947453564,0.14387603847041824
vae,lake_to_space,1786,428,0.9596328138899645,0.9037940379403794,4.139018535614014,0.29991432749361635,0.4219452304153949,0.1357667156469042
vae,space_to_debris,428,4196,0.9104543267731617,0.9243079584775087,3.5533716678619385,0.2577974927390582,0.37201272038879935,0.14705905968854266
vae,space_to_lake,428,1786,0.9432488932611904,0.907859078590786,4.0804009437561035,0.24752755176947605,0.35847581734799355,0.1528370890345045
