config_id,epsilon,explore_traffic_ratio,expected_explore_batches,n_batches,final_regret_mean,final_regret_std,final_regret_cv,path_cumregret_std_mean,incremental_regret_var_mean,n_repeats,experiment
epsilon=0.05,0.05,0.05,30.0,600,80.00073744697876,7.816658406255058,0.0977073294035023,4.273423408215035,0.0096040732079383,3,mab_scale_d30_higheps
epsilon=0.1,0.1,0.1,60.0,600,69.80808034013835,3.061944660426803,0.0438623243256016,1.6494095051507294,0.0071242868566981,3,mab_scale_d30_higheps
epsilon=0.15,0.15,0.15,90.0,600,69.50712506482178,2.5936961693132816,0.0373155437934517,0.8091859856019133,0.0065549005383257,3,mab_scale_d30_higheps
epsilon=0.2,0.2,0.2,120.0,600,69.90281038349484,3.5033224728523438,0.0501170475640781,1.5271187465752831,0.0072000768469593,3,mab_scale_d30_higheps
epsilon=0.3,0.3,0.3,180.0,600,70.27021144270307,1.2613021625941867,0.0179493150326241,0.716129043847316,0.007695874661825,3,mab_scale_d30_higheps
epsilon=0.4,0.4,0.4,240.0,600,74.72460078190774,1.5602249852134216,0.0208796697324234,0.5141524295094075,0.0082656197799891,3,mab_scale_d30_higheps
epsilon=0.5,0.5,0.5,300.0,600,73.66510040324836,1.0433622802057378,0.0141635900106603,0.521075983856382,0.008909495491697,3,mab_scale_d30_higheps
epsilon=0.6,0.6,0.6,360.0,600,76.02631956321521,3.961318247928759,0.0521045641915489,1.5753506776001625,0.0092640060914762,3,mab_scale_d30_higheps
epsilon=0.7,0.7,0.7,420.0,600,77.67884520987785,1.8802499264485624,0.0242054309814773,1.1845981924089175,0.0101308362379192,3,mab_scale_d30_higheps
epsilon=0.05,0.05,0.05,30.0,600,79.86724446437873,11.17505964779594,0.1399204357523575,5.534018132997826,0.0125483133199164,5,mab_scale_d30_higheps_r5
epsilon=0.1,0.1,0.1,60.0,600,74.80847755997858,4.913524604348657,0.065681387519338,3.0003956907851754,0.0100818297057434,5,mab_scale_d30_higheps_r5
epsilon=0.15,0.15,0.15,90.0,600,71.66159141461205,2.75943167443032,0.0385064247103457,1.4605321544540557,0.0096804802106484,5,mab_scale_d30_higheps_r5
epsilon=0.2,0.2,0.2,120.0,600,69.86453450586667,3.1682709573352894,0.0453487735908301,1.7145083156605303,0.0094634945309768,5,mab_scale_d30_higheps_r5
epsilon=0.3,0.3,0.3,180.0,600,71.35608387890166,2.6148032292967858,0.036644432922277,1.3686217288031413,0.0095712752667789,5,mab_scale_d30_higheps_r5
epsilon=0.4,0.4,0.4,240.0,600,72.79475692674768,3.2884549986680374,0.0451743386131114,1.6995148151123436,0.0099498553881579,5,mab_scale_d30_higheps_r5
epsilon=0.5,0.5,0.5,300.0,600,73.44699002646061,2.821719611554553,0.0384184513284748,1.1745362705452018,0.0096721357561882,5,mab_scale_d30_higheps_r5
epsilon=0.6,0.6,0.6,360.0,600,76.9070123437372,0.6294738883595019,0.0081848698730625,0.763266973854624,0.0113938173293942,5,mab_scale_d30_higheps_r5
epsilon=0.7,0.7,0.7,420.0,600,78.27078324432122,2.532253624918817,0.0323524758531471,1.3627960481048196,0.011838264455019,5,mab_scale_d30_higheps_r5
