feature_dim,config_id,epsilon,explore_traffic_ratio,final_regret_mean,final_regret_std,final_regret_cv,n_repeats,n_batches,shift_batch_index
10,epsilon=0.05,0.05,0.05,220.4983555067804,55.87419505241161,0.2533995998473261,3,100,25
20,epsilon=0.05,0.05,0.05,216.65312623758825,31.929065366299582,0.1473741271163806,3,100,25
30,epsilon=0.05,0.05,0.05,233.1968347870527,49.34853806684904,0.2116175295085476,3,100,25
40,epsilon=0.05,0.05,0.05,220.44036671229605,28.15901764982911,0.1277398421613967,3,100,25
50,epsilon=0.05,0.05,0.05,224.14944401966764,44.07643990061781,0.1966386313978561,3,100,25
75,epsilon=0.05,0.05,0.05,315.34822681362,45.999383694665,0.1458685344752294,3,100,25
100,epsilon=0.05,0.05,0.05,253.33291829240184,7.851611759375175,0.0309932550901762,3,100,25
150,epsilon=0.05,0.05,0.05,228.7591820223039,90.93212164131556,0.3975015159498591,3,100,25
200,epsilon=0.05,0.05,0.05,244.53868512484345,36.758656262476165,0.1503183688245886,3,100,25
300,epsilon=0.05,0.05,0.05,164.7595384317422,10.86903834960157,0.0659690992889281,3,100,25
400,epsilon=0.05,0.05,0.05,205.36830316859744,13.480052102163658,0.0656384256683329,3,100,25
500,epsilon=0.05,0.05,0.05,365.9970515765405,148.92540799027782,0.4069032997636956,3,100,25
10,epsilon=0.1,0.1,0.1,252.98749007002115,47.7326264348952,0.1886758369818361,3,100,25
20,epsilon=0.1,0.1,0.1,298.4289522887569,26.40784803651069,0.088489564547875,3,100,25
30,epsilon=0.1,0.1,0.1,221.49600476830108,19.095786805765293,0.0862127821481055,3,100,25
40,epsilon=0.1,0.1,0.1,243.6207174360241,28.1852725707081,0.1156932500131466,3,100,25
50,epsilon=0.1,0.1,0.1,215.20291248938057,24.35084819452032,0.1131529676473218,3,100,25
75,epsilon=0.1,0.1,0.1,325.3979979781549,63.06917591702111,0.1938216470565229,3,100,25
100,epsilon=0.1,0.1,0.1,197.9569232240952,15.304527751740125,0.0773124147540663,3,100,25
150,epsilon=0.1,0.1,0.1,260.36114269788067,68.81999586429778,0.2643251414215658,3,100,25
200,epsilon=0.1,0.1,0.1,267.8731997264724,121.56994417677144,0.453833919559357,3,100,25
300,epsilon=0.1,0.1,0.1,262.72485152258474,12.803468117656298,0.0487333727413132,3,100,25
