cooling_preset,policy,config_id,batch_index,cum_regret_mean,cum_regret_std,cum_regret_lower,cum_regret_upper,n_repeats
shift,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,0,7.315441371102078,0.20614756830342879,7.109293802798649,7.521588939405507,3
shift,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,1,8.00850896364145,0.38095565617174665,7.627553307469704,8.389464619813197,3
shift,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,2,10.392303947410975,2.469388622780801,7.922915324630173,12.861692570191776,3
shift,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,3,13.653335794434312,1.8557654947720499,11.797570299662262,15.509101289206363,3
shift,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,4,15.491043914521535,0.40524975597591184,15.085794158545623,15.896293670497448,3
shift,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,5,15.708570193884443,0.6243900385217355,15.084180155362708,16.33296023240618,3
shift,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,6,18.92659162711763,4.300150133131147,14.626441493986484,23.22674176024878,3
shift,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,7,19.038177535653215,4.161015969078859,14.877161566574356,23.199193504732072,3
shift,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,8,19.210810889531828,4.002312664110349,15.20849822542148,23.213123553642177,3
shift,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,9,19.521966420002922,4.078161009797938,15.443805410204984,23.60012742980086,3
shift,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,10,19.72111785664803,4.119408105360329,15.6017097512877,23.840525962008357,3
shift,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,11,19.812512845867918,4.22808324498262,15.584429600885297,24.04059609085054,3
shift,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,12,19.946714115834034,4.172473450985521,15.774240664848513,24.119187566819555,3
shift,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,13,20.058286361769113,4.294763670379287,15.763522691389827,24.3530500321484,3
shift,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,14,20.22544363159568,4.211669608007132,16.01377402358855,24.437113239602812,3
shift,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,15,20.542196934830404,4.042282140477296,16.49991479435311,24.584479075307698,3
shift,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,16,20.665115515958618,4.019637787573166,16.64547772838545,24.684753303531785,3
shift,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,17,20.974656839740373,3.689248015904023,17.28540882383635,24.663904855644397,3
shift,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,18,21.377894742139432,3.7303169297333203,17.647577812406112,25.108211671872752,3
shift,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,19,21.558281757359982,3.5925589529799136,17.965722804380068,25.150840710339896,3
shift,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,20,33.552802443669066,4.819662908719266,28.7331395349498,38.37246535238833,3
shift,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,21,41.424157973382705,3.306897181198442,38.11726079218426,44.73105515458115,3
shift,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,22,46.89930900007892,6.475294447662475,40.424014552416445,53.3746034477414,3
shift,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,23,55.620615083561766,5.979687293256543,49.64092779030523,61.600302376818306,3
shift,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,24,63.97771634109438,7.87951056851955,56.09820577257483,71.85722690961393,3
shift,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,25,77.9416934064444,6.5491025100129,71.3925908964315,84.4907959164573,3
shift,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,26,86.38146590306015,13.458612074501795,72.92285382855835,99.84007797756195,3
shift,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,27,95.7921762749018,13.899538875097639,81.89263739980417,109.69171514999944,3
shift,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,28,100.53779474533633,15.80854207480742,84.72925267052891,116.34633682014375,3
shift,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,29,105.78513996108443,11.718660792656438,94.06647916842799,117.50380075374086,3
