setting,dgp_name,dgp,rep,feature_dim,total_samples,ref_samples,batch_size,n_batches,shift_batch_index,policy,config_id,final_regret,mean_reward,hp_epsilon,hp_base_epsilon,hp_max_epsilon,hp_gamma,hp_anomaly_sensitivity,hp_alpha,hp_lambda_reg,hp_use_momentum,hp_prior_lambda
stationary,stationary,stationary,0,30,20000,5000,25,600,600,Epsilon_Greedy,epsilon=0.02,11.434515162611008,-0.061636803723689224,0.02,,,,,,,,
stationary,stationary,stationary,0,30,20000,5000,25,600,600,Epsilon_Greedy,epsilon=0.05,11.809738095214595,-0.06226217527802855,0.05,,,,,,,,
stationary,stationary,stationary,0,30,20000,5000,25,600,600,Epsilon_Greedy,epsilon=0.1,5.145283954069243,-0.05115475170945296,0.1,,,,,,,,
stationary,stationary,stationary,0,30,20000,5000,25,600,600,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,7.970682564705799,-0.05586374939384722,,0.05,0.5,0.9,0.3,,,,
stationary,stationary,stationary,0,30,20000,5000,25,600,600,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.5|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,10.146499833044917,-0.059490111507745747,,0.05,0.5,0.9,0.5,,,,
stationary,stationary,stationary,0,30,20000,5000,25,600,600,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.1|gamma=0.9|max_epsilon=0.5,8.709496941072564,-0.05709510668779182,,0.1,0.5,0.9,0.3,,,,
stationary,stationary,stationary,0,30,20000,5000,25,600,600,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.5|base_epsilon=0.1|gamma=0.9|max_epsilon=0.5,10.615103687692738,-0.06027111793215879,,0.1,0.5,0.9,0.5,,,,
stationary,stationary,stationary,0,30,20000,5000,25,600,600,UCB,default,18.492556215413423,-0.07340020547835993,,,,,,,,,
stationary,stationary,stationary,0,30,20000,5000,25,600,600,Random,default,19.831741477347506,-0.07563218091491673,,,,,,,,,
stationary,stationary,stationary,0,30,20000,5000,25,600,600,LinUCB_Vanilla,alpha=0.1|lambda_reg=50|use_momentum=False,8.190418289708541,-0.05622997560218512,,,,,,0.1,50.0,False,
stationary,stationary,stationary,0,30,20000,5000,25,600,600,LinUCB_Vanilla,alpha=0.1|lambda_reg=100|use_momentum=False,8.844901108590479,-0.057320780300321686,,,,,,0.1,100.0,False,
stationary,stationary,stationary,0,30,20000,5000,25,600,600,Thompson_Sampling,prior_lambda=0.1,15.256164535310678,-0.06800621934485536,,,,,,,,,0.1
stationary,stationary,stationary,0,30,20000,5000,25,600,600,Thompson_Sampling,prior_lambda=0.15,15.366101425614193,-0.06818944749536122,,,,,,,,,0.15
