dgp_name,cooling_preset,rep,n_batches,shift_batch_index,feature_dim,total_samples,ref_samples,batch_size,policy,config_id,final_regret,mean_reward,hp_epsilon
messy_d500_n100k,scale_default,0,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.3,66.44795225704314,-2.796155235628047,0.3
messy_d500_n100k,scale_default,0,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.35,71.56386338612471,-2.8046817541765163,0.35
messy_d500_n100k,scale_default,0,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.4,73.85204940516127,-2.8084953975415776,0.4
messy_d500_n100k,scale_default,0,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.45,71.12901167823875,-2.8039570013300406,0.45
messy_d500_n100k,scale_default,0,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.5,70.95157037951816,-2.8036612658321722,0.5
messy_d500_n100k,scale_default,0,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.55,73.43756822572931,-2.8078045955758575,0.55
messy_d500_n100k,scale_default,0,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.6,75.95131804236098,-2.811994178603577,0.6
messy_d500_n100k,scale_default,0,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.65,75.13324485407577,-2.8106307232897687,0.65
messy_d500_n100k,scale_default,0,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.7,76.83643731909135,-2.813469377398128,0.7
messy_d500_n100k,scale_default,1,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.3,80.08701481826185,-2.8155128569075973,0.3
messy_d500_n100k,scale_default,1,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.35,76.36763984077513,-2.809313898611786,0.35
messy_d500_n100k,scale_default,1,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.4,75.0649281845949,-2.8071427125181523,0.4
messy_d500_n100k,scale_default,1,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.45,74.15626695100512,-2.805628277128836,0.45
messy_d500_n100k,scale_default,1,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.5,76.55640837284736,-2.8096285128319067,0.5
messy_d500_n100k,scale_default,1,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.55,81.19634413926306,-2.8173617391092662,0.55
messy_d500_n100k,scale_default,1,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.6,80.26620832993618,-2.815811512760388,0.6
messy_d500_n100k,scale_default,1,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.65,78.96717988919214,-2.813646465359148,0.65
messy_d500_n100k,scale_default,1,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.7,76.61766682699155,-2.8097306102554804,0.7
messy_d500_n100k,scale_default,2,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.3,72.69709150262614,-2.8330634182713164,0.3
messy_d500_n100k,scale_default,2,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.35,71.08090265044908,-2.830369770184354,0.35
messy_d500_n100k,scale_default,2,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.4,70.90116532071144,-2.8300702079681255,0.4
messy_d500_n100k,scale_default,2,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.45,76.8945000333168,-2.8400590991558006,0.45
messy_d500_n100k,scale_default,2,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.5,77.05729883863086,-2.840330430497991,0.5
messy_d500_n100k,scale_default,2,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.55,76.39813729209638,-2.839231827920434,0.55
messy_d500_n100k,scale_default,2,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.6,77.35104543573455,-2.8408200081598305,0.6
messy_d500_n100k,scale_default,2,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.65,76.42878436849406,-2.8392829063810967,0.65
messy_d500_n100k,scale_default,2,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.7,75.26478494464874,-2.8373429073413545,0.7
messy_d500_n100k,scale_default,3,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.3,74.04750301554535,-2.7796982975476796,0.3
messy_d500_n100k,scale_default,3,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.35,73.70890366701289,-2.7791339653001255,0.35
messy_d500_n100k,scale_default,3,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.4,75.81014161845623,-2.782636028552531,0.4
messy_d500_n100k,scale_default,3,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.45,74.73068077013474,-2.7808369271386613,0.45
messy_d500_n100k,scale_default,3,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.5,77.5220318094213,-2.785489178870806,0.5
messy_d500_n100k,scale_default,3,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.55,74.97430168731276,-2.781242962000625,0.55
messy_d500_n100k,scale_default,3,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.6,77.19743866559291,-2.784948190297759,0.6
messy_d500_n100k,scale_default,3,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.65,75.76329733759505,-2.7825579547510957,0.65
messy_d500_n100k,scale_default,3,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.7,79.64040943977157,-2.7890198082547233,0.7
messy_d500_n100k,scale_default,4,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.3,74.031560843074,-2.811522995088945,0.3
messy_d500_n100k,scale_default,4,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.35,72.38370424624543,-2.808776567427564,0.35
messy_d500_n100k,scale_default,4,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.4,74.63265753894345,-2.812524822915394,0.4
messy_d500_n100k,scale_default,4,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.45,74.13426080271077,-2.8116941616883393,0.45
messy_d500_n100k,scale_default,4,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.5,74.37993475427143,-2.8121036182742745,0.5
messy_d500_n100k,scale_default,4,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.55,79.63843934121017,-2.8208677925858385,0.55
messy_d500_n100k,scale_default,4,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.6,78.54740115431412,-2.8190493956076783,0.6
messy_d500_n100k,scale_default,4,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.65,76.15753846631816,-2.815066291127685,0.65
messy_d500_n100k,scale_default,4,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.7,79.49480910764439,-2.8206284088632287,0.7
