setting,dgp_name,dgp,rep,feature_dim,total_samples,ref_samples,batch_size,n_batches,shift_batch_index,policy,config_id,final_regret,mean_reward,hp_epsilon,hp_base_epsilon,hp_max_epsilon,hp_gamma,hp_anomaly_sensitivity,hp_alpha,hp_lambda_reg,hp_use_momentum,hp_prior_lambda
shift,nonlinear_messy_ultra_multimethod,nonlinear_messy_ultra,0,30,15000,5000,100,100,25,Epsilon_Greedy,epsilon=0.02,235.7152134410593,-9.008483083347311,0.02,,,,,,,,
shift,nonlinear_messy_ultra_multimethod,nonlinear_messy_ultra,0,30,15000,5000,100,100,25,Epsilon_Greedy,epsilon=0.05,212.56595357661834,-8.776990484702903,0.05,,,,,,,,
shift,nonlinear_messy_ultra_multimethod,nonlinear_messy_ultra,0,30,15000,5000,100,100,25,Epsilon_Greedy,epsilon=0.1,193.72661917283102,-8.588597140665028,0.1,,,,,,,,
shift,nonlinear_messy_ultra_multimethod,nonlinear_messy_ultra,0,30,15000,5000,100,100,25,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,425.9931324472176,-10.911262273408894,,0.05,0.5,0.9,0.3,,,,
shift,nonlinear_messy_ultra_multimethod,nonlinear_messy_ultra,0,30,15000,5000,100,100,25,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.5|base_epsilon=0.05|gamma=0.9|max_epsilon=0.5,449.52640943930714,-11.14659504332979,,0.05,0.5,0.9,0.5,,,,
shift,nonlinear_messy_ultra_multimethod,nonlinear_messy_ultra,0,30,15000,5000,100,100,25,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.3|base_epsilon=0.1|gamma=0.9|max_epsilon=0.5,386.3882832883425,-10.515213781820146,,0.1,0.5,0.9,0.3,,,,
shift,nonlinear_messy_ultra_multimethod,nonlinear_messy_ultra,0,30,15000,5000,100,100,25,AdaptiveEpsilonGreedy,anomaly_sensitivity=0.5|base_epsilon=0.1|gamma=0.9|max_epsilon=0.5,429.3622155486716,-10.944953104423437,,0.1,0.5,0.9,0.5,,,,
shift,nonlinear_messy_ultra_multimethod,nonlinear_messy_ultra,0,30,15000,5000,100,100,25,UCB,default,250.60205462387822,-9.157351495175503,,,,,,,,,
shift,nonlinear_messy_ultra_multimethod,nonlinear_messy_ultra,0,30,15000,5000,100,100,25,Random,default,506.48477750191523,-11.71617872395587,,,,,,,,,
shift,nonlinear_messy_ultra_multimethod,nonlinear_messy_ultra,0,30,15000,5000,100,100,25,LinUCB_Vanilla,alpha=0.1|lambda_reg=50|use_momentum=False,368.06932133834897,-10.332024162320206,,,,,,0.1,50.0,False,
shift,nonlinear_messy_ultra_multimethod,nonlinear_messy_ultra,0,30,15000,5000,100,100,25,LinUCB_Vanilla,alpha=0.1|lambda_reg=100|use_momentum=False,381.5665152763467,-10.466996101700186,,,,,,0.1,100.0,False,
shift,nonlinear_messy_ultra_multimethod,nonlinear_messy_ultra,0,30,15000,5000,100,100,25,Thompson_Sampling,prior_lambda=0.1,443.9170390185766,-11.090501339122486,,,,,,,,,0.1
shift,nonlinear_messy_ultra_multimethod,nonlinear_messy_ultra,0,30,15000,5000,100,100,25,Thompson_Sampling,prior_lambda=0.15,464.50287192743747,-11.29635966821109,,,,,,,,,0.15
shift,nonlinear_messy_ultra_multimethod,nonlinear_messy_ultra,1,30,15000,5000,100,100,25,Epsilon_Greedy,epsilon=0.02,310.8952233283625,-10.013823172285761,0.02,,,,,,,,
shift,nonlinear_messy_ultra_multimethod,nonlinear_messy_ultra,1,30,15000,5000,100,100,25,Epsilon_Greedy,epsilon=0.05,268.69386473188405,-9.591809586320977,0.05,,,,,,,,
shift,nonlinear_messy_ultra_multimethod,nonlinear_messy_ultra,1,30,15000,5000,100,100,25,Epsilon_Greedy,epsilon=0.1,227.784359329873,-9.182714532300865,0.1,,,,,,,,
