dgp_name,cooling_preset,rep,n_batches,shift_batch_index,feature_dim,total_samples,ref_samples,batch_size,policy,config_id,final_regret,mean_reward,hp_epsilon
messy_d500_n100k,scale_default,0,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.05,65.62507521453783,-2.7947837738905386,0.05
messy_d500_n100k,scale_default,0,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.1,79.72730860000749,-2.818287496199655,0.1
messy_d500_n100k,scale_default,0,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.15,73.68286758363189,-2.808213427839029,0.15
messy_d500_n100k,scale_default,0,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.2,63.84694561973414,-2.7918202245658663,0.2
messy_d500_n100k,scale_default,0,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.3,68.12335747147714,-2.798947577652104,0.3
messy_d500_n100k,scale_default,0,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.4,69.06476437834257,-2.8005165891635464,0.4
messy_d500_n100k,scale_default,0,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.5,69.30218446504519,-2.800912289308051,0.5
messy_d500_n100k,scale_default,0,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.6,75.90378320771649,-2.8119149538791697,0.6
messy_d500_n100k,scale_default,0,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.7,73.66242988736853,-2.8081793650119233,0.7
messy_d500_n100k,scale_default,1,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.05,97.83146256580943,-2.8450869364868434,0.05
messy_d500_n100k,scale_default,1,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.1,68.70700005592113,-2.7965461656370296,0.1
messy_d500_n100k,scale_default,1,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.15,73.7868675921938,-2.805012611530817,0.15
messy_d500_n100k,scale_default,1,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.2,71.08683466588955,-2.800512556653644,0.2
messy_d500_n100k,scale_default,1,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.3,75.60700224253506,-2.808046169281386,0.3
messy_d500_n100k,scale_default,1,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.4,75.94836813183375,-2.8086151124302177,0.4
messy_d500_n100k,scale_default,1,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.5,76.56936932940208,-2.8096501144261645,0.5
messy_d500_n100k,scale_default,1,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.6,77.27629723798181,-2.810828327607131,0.6
messy_d500_n100k,scale_default,1,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.7,78.84616610821685,-2.8134447757241894,0.7
messy_d500_n100k,scale_default,2,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.05,81.48689576946059,-2.8477130920493736,0.05
messy_d500_n100k,scale_default,2,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.1,70.07674690378639,-2.82869617727325,0.1
messy_d500_n100k,scale_default,2,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.15,68.26449886706752,-2.8256757638787184,0.15
messy_d500_n100k,scale_default,2,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.2,70.78677453926409,-2.829879556665713,0.2
messy_d500_n100k,scale_default,2,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.3,69.7879161640641,-2.8282147927070467,0.3
messy_d500_n100k,scale_default,2,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.4,73.16361903801379,-2.8338409641636293,0.4
messy_d500_n100k,scale_default,2,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.5,74.94468670259965,-2.8368094102712718,0.5
messy_d500_n100k,scale_default,2,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.6,76.44704048557664,-2.8393133332429,0.6
messy_d500_n100k,scale_default,2,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.7,78.95975044647946,-2.8435011831777386,0.7
messy_d500_n100k,scale_default,3,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.05,70.79455390497203,-2.7742767156967236,0.05
messy_d500_n100k,scale_default,3,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.1,74.65026162853559,-2.7807028952359967,0.1
messy_d500_n100k,scale_default,3,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.15,74.25745715190607,-2.7800482211082804,0.15
messy_d500_n100k,scale_default,3,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.2,73.2386837762751,-2.778350265482229,0.2
messy_d500_n100k,scale_default,3,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.3,70.39519837660069,-2.7736111231494385,0.3
messy_d500_n100k,scale_default,3,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.4,69.02205024120785,-2.7713225429237838,0.4
messy_d500_n100k,scale_default,3,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.5,70.91525304796866,-2.7744778809350517,0.5
messy_d500_n100k,scale_default,3,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.6,77.57323170554645,-2.785574512031015,0.6
messy_d500_n100k,scale_default,3,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.7,78.45488348316644,-2.7870439316603814,0.7
messy_d500_n100k,scale_default,4,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.05,83.59823486711373,-2.8274674517956773,0.05
messy_d500_n100k,scale_default,4,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.1,80.8810706116424,-2.8229388447032253,0.1
messy_d500_n100k,scale_default,4,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.15,68.31626587826092,-2.801997503480923,0.15
messy_d500_n100k,scale_default,4,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.2,70.3634339281705,-2.8054094502307727,0.2
messy_d500_n100k,scale_default,4,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.3,72.8669451398313,-2.8095819689168735,0.3
messy_d500_n100k,scale_default,4,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.4,76.77498284434047,-2.816095365091056,0.4
messy_d500_n100k,scale_default,4,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.5,75.50345658728745,-2.8139761546626336,0.5
messy_d500_n100k,scale_default,4,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.6,77.33470908186462,-2.817028242153596,0.6
messy_d500_n100k,scale_default,4,600,200,30,20000,5000,25,Epsilon_Greedy,epsilon=0.7,81.43068629637487,-2.823854870844446,0.7
